Subj,Gr,TB,DE,NE,Fr,RA,Th,Tr,SQ
1,CTRL,67.489,3.06768181818182,3,9.999,1,11.038,22,120
2,CTRL,106.605,17.7675,0,0,0,2.323,6,87
3,CTRL,82.225,6.85208333333333,2,19.253,5,14.993,12,130
4,CTRL,204.145,3.04694029850746,1,0,3,3.344,67,173
5,CTRL,144.976,28.9952,4,4.7,1,0,5,14
6,CTRL,262.794,7.72923529411765,3,0,0,12.1912,34,107
7,CTRL,124.362,2.89213953488372,1,0,0,5.189,43,97
8,CTRL,257.99,8.89620689655173,1,0,0,6.427,29,33
1,EtOH,275.125,3.31475903614458,1,0,0,2.991,83,119
2,EtOH,229.155,7.6385,0,6.526,1,0,30,165
3,EtOH,192.692,10.1416842105263,1,6.691,1,0,19,22
4,EtOH,178.587,3.88232608695652,0,8.782,0,3.166,46,218
5,EtOH,342.412,5.80359322033898,0,2.569,4,3.491,59,165
6,EtOH,159.661,3.39704255319149,0,0,0,2.104,47,299
7,EtOH,194.822,5.73005882352941,0,0,0,0,34,229
8,EtOH,297.855,4.88286885245902,0,0.8223,1,1.214,61,62
