Group,Brain,Head_kidney
CTRL,3.81400130718954,3.3926871369417
CTRL,0.661556944354661,0.521894922768677
CTRL,0.216520676303908,0.179726313010433
CTRL,4.15476633663366,5.44975830811487
CTRL,1.43430676691729,1.05393816619026
CTRL,4.33236458333333,4.75322260057414
CTRL,0.365880462159549,0.386461238156024
CTRL,7.26723658536585,6.88917233991636
CTRL,0.397803811135949,0.393068051479569
CTRL,1.6846576744186,1.86701728758061
CTRL,0.8020921875,0.875009864960909
CTRL,1.1624315151515,10.2871239170187
CTRL,1.9868516129032,12.3105689371085
CTRL,4.75919944751381,5.18924776339317
WD,8.19146056338028,6.42644954028044
WD,5.90998762886598,5.87967976194872
WD,2.62605217391304,2.67591386741097
WD,4.29033923076923,3.38026702419909
WD,8.18191530054645,7.83921725294
WD,2.10573697916667,2.23371007080742
WD,6.5829299270073,5.63663354968353
WD,3.61985694444444,4.76761617913809
WD,11.9806401041667,12.3671122405631
WD,5.42109402173913,6.4353629252195
WD,0.832617514124294,0.956969232118182
WD,4.46770671641791,3.2714354569786
WD,0.190703013613281,0.225774832208827
WD,0.437792592592593,0.309434578951704
