Subj,Gr,TB,PI,DE,NE,Fr,RA,Th,Tr,SQ
1,CTRL,323.677,-0.2807177778,5.1377301587,1,0,1,13.515,63,255
2,CTRL,97.045,-0.7843444444,1.9805102041,0,0,0,7.705,49,146
3,CTRL,94.388,-0.7902488889,1.9664166667,0,0,2,2.99,48,152
4,CTRL,169.954,-0.6223244444,5.4823870968,0,0,0,16.4,31,168
5,CTRL,15.317,-0.9659622222,1.914625,0,0,1,0,8,15
6,CTRL,20.054,-0.9554355556,1.6711666667,1,0,0,0.148,12,34
7,CTRL,43.561,-0.9031977778,2.4200555556,0,0,1,0.149,18,44
8,CTRL,267.336,-0.40592,12.7302857143,0,33.851,0,2.209,21,100
1,WD,299.969,-0.3334022222,3.8957012987,1,0,8,4.653,77,336
2,WD,270.606,-0.3986533333,6.1501363636,0,0,4,10.533,44,283
3,WD,151.366,-0.6636311111,4.4519411765,1,0,3,5.539,34,173
4,WD,85.001,-0.8111088889,4.4737368421,0,0,3,0,19,77
5,WD,594.029,0.3200644444,23.76116,3,0,0,3.895,25,293
6,WD,406.469,-0.0967355556,4.4181413043,0,0,5,3.869,92,409
7,WD,143.921,-0.6801755556,2.87842,4,0,2,13.309,50,195
8,WD,898.24,0.9960888889,299.4133333333,1,80.123,0,2.472,3,631
9,WD,226.742,-0.4961288889,8.0979285714,0,0,1,1.374,28,207
10,WD,671.468,0.4921511111,39.4981176471,2,453.294,0,1.181,17,261
11,WD,285.778,-0.3649377778,6.4949545455,6,12.655,3,13.698,44,285
12,WD,279.43,-0.3790444444,4.4353968254,7,0,2,25.566,63,323
13,WD,101.104,-0.7753244444,4.2126666667,0,0,3,3.347,24,107
14,WD,300.35,-0.3325555556,6.2572916667,3,0,0,3.072,48,307
